month,year,pollen,box
9,2004,0,3
10,2004,37,3
11,2004,0,3
12,2004,0,3
1,2005,0,3
2,2005,0,3
3,2005,25,3
4,2005,0,3
5,2005,0,3
6,2005,31,3
7,2005,0,3
8,2005,0,3
9,2005,25,3
10,2005,0,3
11,2005,24,3
12,2005,22,3
1,2006,0,3
2,2006,0,3
3,2006,18,3
4,2006,96,3
5,2006,18,3
6,2006,58,3
7,2006,0,3
8,2006,18,3
9,2006,17,3
10,2006,15,3
11,2006,15,3
12,2006,0,3
1,2007,0,3
2,2007,14,3
3,2007,13,3
4,2007,27,3
5,2007,25,3
6,2007,15,3
7,2007,0,3
8,2007,14,3
9,2007,39,3
10,2007,12,3
11,2007,0,3
12,2007,11,3
1,2008,11,3
2,2008,21,3
3,2008,0,3
4,2008,21,3
5,2008,51,3
6,2008,11,3
7,2008,0,3
8,2008,0,3
9,2008,20,3
10,2008,9,3
11,2008,10,3
12,2008,0,3
1,2009,9,3
2,2009,19,3
3,2009,17,3
4,2009,9,3
5,2009,63,3
6,2009,37,3
7,2009,18,3
8,2009,9,3
9,2009,9,3
10,2009,8,3
11,2009,0,3
12,2009,0,3
1,2010,8,3
2,2010,16,3
3,2010,29,3
4,2010,32,3
5,2010,9,3
6,2010,65,3
7,2010,27,3
8,2010,17,3
9,2010,25,3
10,2010,8,3
11,2010,8,3
12,2010,0,3
1,2011,14,3
2,2011,10,3
3,2011,14,3
4,2011,10,3
5,2011,45,3
6,2011,60,3
7,2011,30,3
8,2011,0,3
9,2011,51,3
10,2011,13,3
11,2011,22,3
12,2011,4,3
1,2012,8,3
2,2012,8,3
3,2012,31,3
4,2012,25,3
5,2012,20,3
6,2012,46,3
7,2012,12,3
8,2012,30,3
9,2012,15,3
10,2012,20,3
11,2012,7,3
12,2012,8,3
1,2013,19,3
2,2013,14,3
3,2013,10,3
4,2013,13,3
5,2013,47,3
6,2013,61,3
7,2013,13,3
8,2013,43,3
9,2013,19,3
10,2013,40,3
11,2013,10,3
12,2013,3,3
1,2014,6,3
2,2014,7,3
3,2014,9,3
4,2014,28,3
5,2014,38,3
6,2014,42,3
7,2014,7,3
8,2014,25,3
9,2014,14,3
10,2014,13,3
11,2014,14,3
12,2014,7,3
1,2015,13,3
2,2015,14,3
3,2015,19,3
4,2015,20,3
5,2015,100,3
6,2015,89,3
7,2015,29,3
8,2015,27,3
9,2015,32,3
10,2015,32,3
11,2015,15,3
12,2015,24,3
1,2016,24,3
2,2016,22,3
3,2016,28,3
4,2016,25,3
5,2016,52,3
6,2016,81,3
7,2016,26,3
8,2016,24,3
9,2016,31,3
10,2016,12,3
11,2016,0,3
12,2016,12,3
1,2017,12,3
2,2017,18,3
3,2017,18,3
4,2017,48,3
5,2017,73,3
6,2017,82,3
7,2017,24,3
8,2017,32,3
9,2017,21,3
10,2017,7,3
11,2017,23,3
12,2017,11,3
1,2018,6,3
2,2018,7,3
3,2018,13,3
4,2018,34,3
5,2018,21,3
