"year","month","monthly_average"
1980,1,31.8225806451613
1980,2,29.125
1980,3,39.6451612903226
1980,4,43.7166666666667
1980,5,48.1612903225806
1980,6,53.0333333333333
1980,7,55.8225806451613
1980,8,55.8064516129032
1980,9,53.7333333333333
1980,10,48.5
1980,11,42.3333333333333
1980,12,30.3709677419355
1981,1,22.4354838709677
1981,2,33.3571428571429
1981,3,34.8225806451613
1981,4,46.05
1981,5,49.241935483871
1981,6,55.6833333333333
1981,7,56.0322580645161
1981,8,54.8225806451613
1981,9,52.8833333333333
1981,10,48.9677419354839
1981,11,37.0333333333333
1981,12,32.3225806451613
1982,1,32.8709677419355
1982,2,41.2142857142857
1982,3,42.4677419354839
1982,4,46.3833333333333
1982,5,46.9838709677419
1982,6,53.9666666666667
1982,7,54.8870967741936
1982,8,54.9516129032258
1982,9,52.6166666666667
1982,10,46.8387096774194
1982,11,42.9333333333333
1982,12,39.0161290322581
1983,1,29.9677419354839
1983,2,32.3214285714286
1983,3,34.9677419354839
1983,4,40.3
1983,5,48.0322580645161
1983,6,52.8666666666667
1983,7,55.2903225806452
1983,8,55.4677419354839
1983,9,53.2333333333333
1983,10,49.2741935483871
1983,11,39.3166666666667
1983,12,36.2096774193548
1984,1,31.3870967741935
1984,2,34.1607142857143
1984,3,37.6290322580645
1984,4,40.85
1984,5,49.1129032258064
1984,6,50.9833333333333
1984,7,53.6290322580645
1984,8,54.7258064516129
1984,9,52.2
1984,10,47.9032258064516
1984,11,39.6666666666667
1984,12,37.6612903225806
1985,1,26.9193548387097
1985,2,34.6428571428571
1985,3,40.6451612903226
1985,4,43.0166666666667
1985,5,49.5967741935484
1985,6,55.35
1985,7,54.1290322580645
1985,8,55.3064516129032
1985,9,52.8333333333333
1985,10,51.5322580645161
1985,11,44.85
1985,12,31.8387096774194
1986,1,31.3548387096774
1986,2,37.25
1986,3,37.1290322580645
1986,4,39.8333333333333
1986,5,48.6451612903226
1986,6,53.4166666666667
1986,7,54.6451612903226
1986,8,54.9354838709677
1986,9,54.3666666666667
1986,10,49.9516129032258
1986,11,48.7333333333333
1986,12,40.241935483871
1987,1,31.258064516129
1987,2,34.7857142857143
1987,3,39.0645161290323
1987,4,37
1987,5,48.6290322580645
1987,6,54.5833333333333
1987,7,55.6451612903226
1987,8,56.4193548387097
1987,9,54.5
1987,10,44.5161290322581
1987,11,41.8833333333333
1987,12,35.5967741935484
1988,1,31.1451612903226
1988,2,32.875
1988,3,36.3225806451613
1988,4,43.2
1988,5,46.6290322580645
1988,6,52.55
1988,7,54.3709677419355
1988,8,54.8870967741936
1988,9,54.9166666666667
1988,10,46.1129032258064
1988,11,43.7666666666667
1988,12,34.2741935483871
1989,1,38.7096774193548
1989,2,36.5
1989,3,41.4193548387097
1989,4,44.4166666666667
1989,5,49.8870967741936
1989,6,54.15
1989,7,55.1935483870968
1989,8,55.4516129032258
1989,9,55.0666666666667
1989,10,48.258064516129
1989,11,42.2166666666667
1989,12,27.8870967741935
1990,1,38.8225806451613
1990,2,41.8392857142857
1990,3,41.4516129032258
1990,4,44.3166666666667
1990,5,52.3064516129032
1990,6,54.1833333333333
1990,7,55.3709677419355
1990,8,55.8064516129032
1990,9,54.5833333333333
1990,10,49.6935483870968
1990,11,42.1833333333333
1990,12,38
1991,1,38.8548387096774
1991,2,37.1607142857143
1991,3,40.2903225806452
1991,4,47.75
1991,5,52.6451612903226
1991,6,54.0333333333333
1991,7,55.0161290322581
1991,8,55.8870967741936
1991,9,54.2333333333333
1991,10,48.7258064516129
1991,11,38.05
1991,12,38.6774193548387
1992,1,31.6774193548387
1992,2,37.0357142857143
1992,3,37.4838709677419
1992,4,42.8
1992,5,43.241935483871
1992,6,53.75
1992,7,56.0161290322581
1992,8,54.741935483871
1992,9,54.1666666666667
1992,10,46.4677419354839
1992,11,45.2833333333333
1992,12,35.3870967741936
1993,1,39.8064516129032
1993,2,33.6964285714286
1993,3,36.0967741935484
1993,4,40.5833333333333
1993,5,47.5322580645161
1993,6,54.4833333333333
1993,7,55.8064516129032
1993,8,55.9032258064516
1993,9,54.45
1993,10,49.0161290322581
1993,11,42.1333333333333
1993,12,31.8064516129032
1994,1,33.8387096774194
1994,2,39.875
1994,3,40.3387096774194
1994,4,46.8333333333333
1994,5,50.0967741935484
1994,6,53.8333333333333
1994,7,54.241935483871
1994,8,54.258064516129
1994,9,52.6333333333333
1994,10,48.6774193548387
1994,11,44.85
1994,12,38.3225806451613
1995,1,31.3870967741935
1995,2,31.6785714285714
1995,3,40.9354838709677
1995,4,45.3833333333333
1995,5,52.5645161290323
1995,6,53.0333333333333
1995,7,55.0967741935484
1995,8,55.9193548387097
1995,9,54.6833333333333
1995,10,51.0322580645161
1995,11,38.4
1995,12,31.9516129032258
1996,1,31.1612903225806
1996,2,31.5892857142857
1996,3,34.5161290322581
1996,4,41.8
1996,5,50.3548387096774
1996,6,51.6666666666667
1996,7,55.1612903225806
1996,8,54.6129032258064
1996,9,53.5333333333333
1996,10,47.5
1996,11,40.85
1996,12,34.6129032258064
1997,1,33.9032258064516
1997,2,39.5
1997,3,44.9032258064516
1997,4,42.95
1997,5,48.9193548387097
1997,6,52.95
1997,7,55.3387096774194
1997,8,55.4354838709677
1997,9,53.4333333333333
1997,10,46.8064516129032
1997,11,39.2333333333333
1997,12,35.5806451612903
1998,1,35.0161290322581
1998,2,33.1964285714286
1998,3,35.9032258064516
1998,4,43.05
1998,5,49.6935483870968
1998,6,57.05
1998,7,56.3709677419355
1998,8,56.5483870967742
1998,9,54.2166666666667
